vSource,Id,LocationName
ACEVEDO,195965,Acevedo
AGRADO,195966,Agrado
ALGECIRAS,195208,Algeciras
ALTAMIRA,195970,Altamira
ARIZONA,196056,Arizona
ARMENIA,195230,Armenia
BELEN,202353,"Belen De Bajira"
BETANIA,195145,Betanía
"BOGOTA SALITRE",195201,Bogota
BOLIVIA,195976,Bolivia
BRISAS,195977,Brisas
BUCARAMANGA,195236,Bucaramanga
"BUENA VISTA",195978,"Buena Vista"
BUGA,195250,Buga
BUGALAGRANDE,196077,Bugalagrande
CAJAMARCA,195741,Cajamarca
CALARCA,195787,Calarca
CALI,195251,Cali
CAMPOALEGRE,195979,Campoalegre
CASINO,197061,Casino
CASTAÃ?AL,196075,Castanal
CAUCHOS,196894,Cauchos
CHAPINERO,196050,Chapinero
CHICHERIA,196910,Chicheria
COCAL,195953,Cocal
COCONUCO,195959,Coconuco
COLOMBIA,195980,Colombia
COROSAL,195563,Corozal
"COSTA RICA",195981,"Costa Rica"
COYAIMA,196066,Coyaima
CRIOLLOS,196051,Criollos
"CRUCE AIPE",196853,"Cruce Aipe"
"CRUCE DE SAN AGUSTIN",196884,"Cruce De San Agustín"
"CRUCE FLORIDA",196914,"Cruce Florida"
CUCHITOS,196857,Cuchitos
CUCUTA,196867,Cucuta
DAGOTA,195796,Dagota
DELICIAS,195982,Delicias
DESQUITE,195944,Desquite
DOLORES,196067,Dolores
DONCELLO,195947,Doncello
"DORADAL - NO ES",195501,Doradal
DORADO,196906,Dorado
"EL 22",196902,"El 22"
"EL AGRADO",195983,"El Agrado"
"EL CARMEN",195800,"El Carmen De Bolivar"
"EL CEDRAL",195985,"El Cedral"
"EL CERRO",197062,"El cerro"
"EL ESPEJO",195986,"El Espejo"
"EL JORDAN",195987,"El Jordan"
"EL LIMON",195988,"El Limon"
"EL MARMOL",196861,"El Marmol"
"EL PITAL",195989,"El Pital"
"EL ROBLE",195990,"El Roble"
"EL TABLAZO",195903,"El Tablazo"
"EL TRIUNFO",195991,"El Triunfo"
"EL VENADITO",195948,"El Venadito"
ELIAS,195992,Elias
ESCANIO,196859,Escanio
"ESMERALDA ALTA",196916,"Esmeralda Alta"
"ESMERALDA BAJA",196918,"Esmeralda Baja"
ESPERANZA,196079,Esperanza
ESPINAL,195803,Espinal
ESTRELLA,196052,Estrella
FATIMA,196053,Fatima
FLORENCIA,195194,Florencia
FORTALECILLA,195993,Fortalecilla
FUSAGASUGA,195806,Fusagasugá
GAITANIA,196068,Gaitania
GALLEGO,196054,Gallego
GARZON,195209,Garzon
GIGANTE,195907,Gigante
GIRARDOT,195202,Girardot
GUADALUPE,195704,Guadalupe
GUAMO,195807,Guamo
HOBO,195994,Hobo
HONDA,195247,Honda
HORIZONTE,196846,Horizonte
HOTEL,196896,Hotel
IBAGUE,195248,Ibague
IQUIRA,195995,Iquira
JAMUNDI,196078,Jamundi
JORDAN,195996,Jordán
JUNTAS,195997,Juntas
"LA ARADA",196069,"La Arada"
"LA ARGENTINA",195210,"La Argentina"
"LA CAÃ?ADA",195998,"La Cañada"
"LA DORADA",195187,"La Dorada"
"LA GRANJA",195999,"La Granja"
"LA HORMIGA",196057,"La Hormiga"
"LA JOYA",196063,"La Joya"
"LA JULIA",196000,"La Julia"
"LA LIBERTAD",196001,"La Libertad"
"LA LINEA",196002,"La Linea"
"LA LIZAMA",196898,"La Lizama"
"LA LUPA",196904,"La Lupa"
"LA PLATA",195211,"La Plata"
"LA REFORMA",196003,"La Reforma"
"LA UNION",198188,"La Union (piura)"
"LA URRACA",196890,"La Urraca"
"LA VEGA",195960,"La Vega"
"LAS MERCEDES",196004,"Las Mercedes"
"LAS PALMAS",196005,"Las Palmas"
"LAS PERLAS",196006,"Las Perlas"
LAURELES,196007,Laureles
LEBRIJA,195849,Lebrija
LETICIA,196080,Leticia
LIBANO,196888,Libano
LINDOSA,196008,Lindosa
LLANITOS,196009,Llanitos
"LOS PATIOS",195840,"Los Patios"
MALVINAS,195949,Malvinas
MANIZALES,195188,Manizales
MARINILLA,195836,Marinilla
MARIQUITA,195249,Mariquita
MATANZAS,196886,Matanzas
MEDELLIN,195160,Medellin
MELGAR,195835,Melgar
MESITAS,195962,Mesitas
MIRADOR,196010,Mirador
MOCOA,195228,Mocoa
MOLLITAS,196920,Mollitas
MONTAÃ?ITA,196011,Montanita
MORAL,196844,Moral
NATAGA,196012,Nataga
NATAGAIMA,195831,Natagaima
NEIVA,195207,Neiva
"EL DORADAL",197290,"No Show"
OPORAPA,196013,Oporapa
OSPINA,196058,Ospina
PAICOL,196014,Paicol
PALERMO,196015,Palermo
PALETARA,195954,Paletara
PALMIRA,195252,Palmira
PAMPLONA,195226,Pamplona
PATIAS,196900,Patias
PATO,196016,Pato
PAUJIL,196071,Paujil
PENSILVANIA,195190,Pensilvania
PERALTA,196017,Peralta
PEREIRA,195232,Pereira
PESCADOR,196018,Pescador
PIAMONTE,196076,Piamonte
PIENDAMO,196072,Piendamo
PINARES,196019,Pinares
PITAL,196020,Pital
PITALITO,195212,Pitalito
PLANADAS,196073,Planadas
POPAYAN,195195,Popayan
"POTRERO GRANDE",196021,"Potrero Grande"
PRADERA,196022,Pradera
PRAGA,196023,Praga
PRIMAVERA,195533,Primavera
"PUERTO ARAUJO",195826,"Puerto Araujo"
"PUERTO ASIS",195229,"Puerto Asis"
"PUERTO BOYACA",195183,"Puerto Boyaca"
"PUERTO CAICEDO",196059,"Puerto Caicedo"
"PUERTO NEGRO",195945,"Puerto Negro"
"PUERTO RICO",195932,"Puerto Rico"
"PUERTO SALGAR",195931,"Puerto Salgar"
"PUERTO SECO",196024,"Puerto Seco"
"PUERTO TOLIMA",195951,"Puerto Tolima"
"PUERTO UMBRIA",196060,"Puerto Umbria"
PURACE,195957,Purace
QUEBRADON,196025,Quebradon
RECREO,196026,Recreo
REYES,196027,Reyes
"RIO CLARO",195943,"Rio Claro"
RIONEGRO,195824,Rionegro
ROMERO,196028,Romero
SALDAÃ?A,196855,Saldana
SALERO,196892,Salero
"SAN AGUSTIN",195213,"San agustin"
"SAN AMBROSIO",196029,"San Ambrosio"
"SAN ANDRES",195853,"San Andrés"
"SAN DIEGO",195923,"San Diego"
"SAN JOAQUIN",196031,"San Joaquín"
"SAN JOSE DE ISNOS",196032,"San José De Isnos"
"SAN LUIS",196033,"San luis (huila)"
"SAN PEDRO",196034,"San pedro (huila)"
"SAN ROQUE",196035,"San roque (huila)"
"SAN VICENTE",195921,"San vicente del caguan"
"SANTA RITA",196037,"Santa Rita"
SANTANA,195918,Santana
"SANTADER DE QUILICHAO",195958,"Santander De Quilichao"
"SANTIAGO PEREZ",196074,"Santiago Perez"
SANTUARIO,195567,Santuario
"SIERRA DEL GRAMAL",196038,"Sierra De Gramal"
SILVANIA,195964,Silvania
SOACHA,195814,Soacha
SOCORRO,195242,Socorro
SOTO,196039,Soto
SUAZA,196040,Suaza
SURATA,196062,Surata
TAMBO,196041,Tambo
TARQUI,196042,Tarqui
TELLO,196043,Tello
TESALIA,196044,Tesalia
TIMANA,196045,Timana
"TORRES CARRASPOZO",196849,"Torres Carraspozo"
